key,title,year,Test Activities,GenAI Model,Framework/Agent,Usage,Evaluation / Maturity,Limitations,Notes / References,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-394626699,An LLM-based software developer agent demonstrated through a port-logistic optimization case study,2025,Geração automática de testes unitários suporte indireto a validação de requisitos (SRS) e revisão de código,GPT-4o Claude 3.7 Sonnet (LLMs proprietários),Agente próprio baseado em LangGraph (arquitetura multi-step com validação e competição entre modelos),"O agente gera código e, na etapa final, gera testes unitários automaticamente para as implementações selecionadas testes fazem parte de um pipeline agentic de desenvolvimento",Protótipo experimental; avaliação por estudos de caso (Snake game e framework de otimização logística sem métricas formais de qualidade de teste Distante de uso industrial real para testes autônomos,Testes unitários gerados são dependentes da qualidade do código gerado; dificuldades em contextos complexos alta de avaliação empírica específica da qualidade/cobertura dos testes forte necessidade de intervenção humana,"""the agent … is capable of generating … function implementations, and corresponding unit tests”   An_LLMbased_software_developer_…  ; testes aparecem como subproduto do desenvolvimento, não como foco principal",,,,,,,,"Dulai, Tibor and Kiss, Gábor",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018454710&doi=10.1109%2FACDSA65407.2025.11166656&partnerID=40&md5=07beea4a4eddd6e7f441df7515005770,,,,,Cited by: 0,10.1109/ACDSA65407.2025.11166656,Computer programming; Intelligent agents; Logistics; Ports and harbors; Software testing; Specifi...,,,An_LLMbased_software_developer_agent_demonstrated_through_a_portlogistic_optimization_case_study.pdf
rayyan-394626700,"Multi-Agent LLM Collaboration for Adaptive Code Review, Debugging, and Security Analysis",2025,Revisão automática de código (qualidade) Detecção de defeitos (debugging) Análise de segurança (vulnerabilidades) suporte a QA contínuo,"LLMs pré-treinados (ex.: GPT-4, CodeLlama – modelos exatos podem variar)",Framework multi-agente próprio com três agentes especializados + FAISS (RAG/memória de longo prazo),"Código é analisado automaticamente por agentes paralelos (review, debugging, segurança), com refinamento colaborativo e adaptação baseada em histórico do desenvolvedor; aplicável em CI/CD e IDEs","Protótipo experimental avançado avaliação quantitativa com experimentos controlados (precisão, latência, adaptação do usuário)",Não gera casos de teste explicitamente foco em análise estática/semântica dependência de modelos proprietários resultados baseados em snippets e não em grandes sistemas industriais,"“multi-agent LLM framework for adaptive code review, debugging, and security analysis”   MultiAgent_LLM_Collaboration_fo…  ; demonstra redução de feedback redundante e melhoria de precisão ao longo do tempo",,,,,,,541 - 546,"Sharanarthi, Tanush and Polineni, Sreenidhi",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017962329&doi=10.1109%2FMRAI65197.2025.11135756&partnerID=40&md5=c1c8dcd7efc5a31fdf3f2f8723e6caf1,,,,,Cited by: 0,10.1109/MRAI65197.2025.11135756,Codes (symbols); Computer programming languages; Computer software selection and evaluation; Dist...,,,MultiAgent_LLM_Collaboration_for_Adaptive_Code_Review_Debugging_and_Security_Analysis.pdf
rayyan-394626702,Enhancing LLM-based Quantum Code Generation with Multi-Agent Optimization and Quantum Error Correction,2025,est-driven development (TDD) implícito validação sintática e semântica uso de test suites para avaliar código gerado testes experimentais sob ruído quântico; avaliação de confiabilidade via QEC,StarCoder-3B (fine-tuned) GPT-4o usado para geração de prompts CoT/SCoT,"Framework multi-agente próprio (3 agentes: Code Generator, Semantic Analyzer, QEC Decoder) com multi-pass inference, CoT, SCoT, RAG",A GenAI gera código quântico iterativamente; uma test suite própria é usada para validar correção sintática e semântica resultados são avaliados por métricas de teste (pass@k) e por execução experimental com e sem correção de erros,"Protótipo acadêmico avançado avaliação quantitativa extensa (pass@k, % de testes válidos, experimentos sob ruído) domínio específico (quantum)",Não gera casos de teste explicitamente; foco em análise estática/semântica dependência de modelos proprietários resultados baseados em snippets e não em grandes sistemas industriais,demonstra redução de feedback redundante e melhoria de precisão ao longo do tempo,,,,,,,,"Campbell, Charlie and Chen, Mark and Luk, Wayne W.C. and Fan, Hongxiang",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017605997&doi=10.1109%2FDAC63849.2025.11133316&partnerID=40&md5=27976ae3a148261af6d3b69c8ea47b27,,,,,Cited by: 0,10.1109/DAC63849.2025.11133316,Automatic programming; Computer programming languages; Error correction; Intelligent agents; Iter...,,,Enhancing_LLMbased_Quantum_Code_Generation_with_MultiAgent_Optimization_and_Quantum_Error_Correction.pdf
rayyan-394626707,OpenROAD Agent: An Intelligent Self-Correcting Script Generator for OpenROAD,2025,"Validação automática baseada em testes de execução; detecção de falhas (scripts inválidos); verificação funcional indireta via métricas de design (DRC, timing, área, potência)",LLM (não explicitamente nomeado; modelo proprietário via API),OpenROAD Agent – agente GenAI com loop de auto-correção integrado ao OpenROAD EDA flow,"O agente gera scripts Tcl, executa o fluxo OpenROAD, usa falhas de execução e métricas como oráculo de teste, e corrige o script automaticamente até atingir critérios válidos","Protótipo acadêmico avançado avaliação empírica com múltiplos designs e métricas quantitativas (taxa de sucesso, número de iterações, QoR)",Não há geração explícita de casos de teste testes são específicos do domínio EDA dependência forte do ambiente OpenROAD; ausência de avaliação industrial longitudinal,falhas de execução funcionam como mecanismo de teste,,,,,,,16 - 22,"Wu, Bingyue and Sharma, Utsav and Rovinski, Austin and Chhabria, Vidya A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015871212&doi=10.1109%2FICLAD65226.2025.00039&partnerID=40&md5=163d4d6230f67a28f31669c32c0f1cfa,,,,,Cited by: 0,10.1109/ICLAD65226.2025.00039,Computational linguistics; Integrated circuit design; Open source software; Open systems; Personn...,,,OpenROAD_Agent_An_Intelligent_SelfCorrecting_Script_Generator_for_OpenROAD.pdf
rayyan-394626709,Toward Generative 6G Simulation: An Experimental Multi-Agent LLM and ns-3 Integration,2025,Geração automática de casos de teste; execução automática de testes validação funcional e de desempenho; debugging baseado em falhas testes de estresse e edge cases análise de resultados,LLMs via ChatOpenAI (ex.: GPT-4o / gpt-4o-mini) embeddings OpenAI,"Framework multi-agente baseado em LangChain + LangGraph, integrado ao ns-3 (Simulation Generation Agent, Test Designer Agent, Test Executor Agent, Result Interpretation Agent)","Testes são gerados automaticamente pelo Test Designer Agent executados pelo Test Executor Agent resultados (logs, métricas) são analisados por LLM e usados para atualizar automaticamente o código da simulação em loop iterativo","Protótipo acadêmico avançado, com avaliação quantitativa detalhada (pass@k, iterações médias, tempo de resposta, taxa de erro sintático, métricas de desempenho de simulação)",Domínio específico (simulação de redes 5G/6G) testes dependem de frameworks do ns-3 ausência de validação industrial real necessidade de conhecimento especializado para interpretar métricas,“the Test Designer Agent generates comprehensive automated test suites” pipeline completo de geração–teste–execução–interpretação,,,,,,,,"Rezazadeh, Farhad and Gargari, Amir Ashtari and Lagen, Sandra and Song, Houbing and Niyato, Dusit (Tao) and Liu, Lingjia",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015738145&doi=10.1109%2FMeditCom64437.2025.11104374&partnerID=40&md5=d97a85dffc69ab925ee5e4de28c33ce6,,,,,Cited by: 0,10.1109/MeditCom64437.2025.11104374,Chains; Codes (symbols); Computational linguistics; Computer simulation languages; Computer syste...,,,Toward Generative 6G Simulation An Experimental Multi-Agent LLM and ns-3 Integration_oho.pdf
rayyan-394626714,AgentTester: An LLM-Based Tool for Unit Test Generation with Automatically Generated Prompts,2025,"geração automática de casos de teste consistindo em módulos de AutoPrompting, Prompt Distillation e Validation-Repair",ChatGLM API glm-4 model gpt-3.5-turbo,O modelo ChatTester e a configuração experimental do seu artigo original servem como base de comparação com o AgentTester.,"AgentTester, que consiste em três módulos principais: AutoPrompting, Prompt Distillation e Validation-Repair Geração automática de casos de teste unitários para projetos Java utilizando LLMs Avaliação da qualidade dos testes gerados em termos de:  Correção sintática.  Taxa de compilação.  Taxa de testes corretos.  Cobertura (linha, método, classe e branch) Aplicado em três projetos Java reais (jInstagram, TabulaPDF, Zappos)","três projetos Java representativos, provenientes do GitHub, como projetos de referência com mais de 15 mil linhas de código e mais de mil métodos principais. Esses três projetos possuem testes JUnit escritos por desenvolvedores, o que é benéfico para gerar e compilar casos de teste sem se preocupar com a configuração do ambiente Abordagem experimental e acadêmica, validada por meio de estudos empíricos comparativos Evolução clara em relação a abordagens anteriores baseadas apenas em LLM:  Supera ChatTester e AthenaTest em taxa de testes corretos e cobertura de linhas.  Introduz melhorias incrementais por meio de módulos especializados (PD e VR). Comparada também com ferramentas tradicionais (EvoSuite), mostrando:  Menor desempenho em branch coverage.  Desempenho superior em line coverage Ainda não é apresentada como ferramenta industrial consolidada (nível protótipo de pesquisa) Protótipo acadêmico com validação empírica controlada","Cobertura de branches inferior quando comparada a ferramentas de geração baseadas em busca, como EvoSuite Taxa de compilação ainda não ideal:  Mesmo com melhorias, cerca de 27% dos testes gerados não compilam no total agregado Avaliação restrita a:  Apenas três projetos Java.  Apenas linguagem Java (limitação de generalização) Dependência de múltiplas execuções e amostragem com diferentes temperaturas, aumentando custo computacional. Não há discussão sobre:  Tempo de execução.  Custos financeiros do uso de LLMs.  Integração contínua em pipelines industriais (CI/CD) Filtragem de testes que compilam mas falham na execução pode reduzir diversidade de casos de teste","Para avaliar minuciosamente o desempenho do AgentTester, selecionamos vários modelos amplamente reconhecidos como linhas de base, incluindo técnicas tradicionais (EvoSuite), baseadas em aprendizado (AthenaTest) e baseadas em LLM (ChatTester) AgentTester apresenta ganho de até 22,5% na taxa de testes corretos em comparação com ChatTester O módulo Prompt Distillation (PD) é o principal responsável pela melhoria de qualidade:  Aumentos significativos nas taxas de compilação e correção (até +26,4% em jInstagram) O módulo Prompt Distillation (PD) é o principal responsável pela melhoria de qualidade:  Aumentos significativos nas taxas de compilação e correção (até +26,4% em jInstagram) O módulo Validation-Repair (VR) contribui com cerca de +20% de melhoria ao corrigir testes com erros Demonstra que LLMs, quando combinados com agentes e validação automática, podem superar abordagens LLM “diretas” Evidência empírica de que estratégias híbridas (LLM + validação programática) são mais eficazes para teste automático",,,Communications in Computer and Information Science,,2574,,114 - 126,"Chen, Honghui and Chen, Kaiqing and Zhang, Fanlong and Wang, Tao and Cheng, Lianglun",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013062510&doi=10.1007%2F978-981-95-0011-6_10&partnerID=40&md5=b7408785d11617d826eacb243fc81dd8,,,,,Cited by: 0,10.1007/978-981-95-0011-6_10,Automatic test pattern generation; Error correction; Software reliability; Software testing; Auto...,,,Advanced_Intelligent_Computing_Technology_and_Applications.pdf
rayyan-394626716,Comprehensive Study on Integrating AI-Powered Threat Intelligence Using Large Language Models,2025,Automated Penetration Testing (APT) Mapeamento de Rede (Host Discovery) Análise de Vulnerabilidades,Gemini 1.5 Pro GPT-4 (avaliado como alternativa),Hierarchical AI Agent System (Multi-agent) LangChain JS Docker/Kubernetes para orquestração de ferramentas,"O sistema utiliza um Master Supervisor que coordena três times de agentes especializados: Pentesting, Cybersecurity Research e Report Making A ""atualização autônoma"" do conhecimento da rede é feita via algoritmo Bellman-Ford modificado, que descobre caminhos incrementalmente, simulando descoberta em tempo real, enquanto agentes acionam ferramentas (Nmap, sqlmap) via API",PoC Acadêmica / Experimental Testado em laboratório usando hardware de borda (Raspberry Pi 5 Model B) para provar eficiência de recursos Validado através da varredura bem-sucedida de URLs reais (ex: google.com) e geração de logs,"Janela de Contexto: Resultados de scans extensos estouram o limite do LLM, exigindo chunking Alucinação: Recomendações de segurança imprecisas ou desatualizadas Custo Computacional: Exige otimização para rodar em hardware limitado","O algoritmo simula processos de descoberta em tempo real atualizando caminhos incrementalmente à medida que novas informações de rede ficam disponíveis"" Destaque para a arquitetura de Microserviços + Agentes para escalabilidade",,,,,,,2141 - 2146,"Nishith, P. and Ratnam, S. Ajay and Bhaskaran, Sreebha",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012111569&doi=10.1109%2FICCSAI64074.2025.11063731&partnerID=40&md5=0ec7b8043470ba4929b72c5dbf36ce97,,,,,Cited by: 0,10.1109/ICCSAI64074.2025.11063731,Automation; Cybersecurity; Integration testing; Intelligent agents; Network security; Algorithmic...,,,Comprehensive_Study_on_Integrating_AIPowered_VuJ.pdf
rayyan-394626721,A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,2025,REST API Testing (Black-box) Geração de Entradas de Teste (Input Generation) Inferência de Dependências entre Operações,GPT-3.5 Turbo,"AutoRestTest (Framework proprietário baseada em Multi-Agent Reinforcement Learning - MARL). Possui 4 agentes especializados: Operation, Dependency, Parameter, Value.","Abordagem híbrida onde o LLM é acionado apenas pelo Value Agent através de few-shot prompting para gerar valores que exigem conformidade semântica (ex: e-mails, IDs específicos) A ""atualização autônoma"" da estratégia de teste é feita via Reinforcement Learning, atualizando tabelas-Q e pesos em um grafo de dependência (SPDG) com base nos códigos de resposta HTTP (2xx, 4xx, 5xx).",Alta (Acadêmica - ICSE 2025) Validado em 12 serviços REST reais (incluindo Spotify e OhSome). Superou 4 ferramentas estado-da-arte (incluindo RESTler e EvoMaster) em cobertura de código (+15-26%) e detecção de falhas Detectou 42 erros internos de servidor (status 500) contra 33 da segunda melhor ferramenta,"Data Leakage: O modelo pode ter sido treinado com dados das APIs públicas testadas, inflando resultados Qualidade da Especificação: A eficácia depende da completude da especificação OpenAPI fornecida Latência de Rede: Testes em APIs reais sofrem com comportamento ""flaky"" devido à rede","""AutoRestTest trata o teste de API REST como um problema separável [...] O LLM lida com a geração de valores específicos do domínio, enquanto o modelo SPDG simplifica o espaço de busca."" A remoção do componente LLM na ablação reduziu a cobertura em ~10-12%",,,Proceedings - International Conference on Software Engineering,,,,1409 - 1421,"Kim, Myeongsoo and Stennett, Tyler and Sinha, Saurabh and Orso, Alessandro",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010327327&doi=10.1109%2FICSE55347.2025.00179&partnerID=40&md5=4727c4956022848d4318383703af88cb,,,,,Cited by: 0,10.1109/ICSE55347.2025.00179,Application programming interfaces (API); Intelligent agents; Machine learning; Multi agent syste...,,,A_MultiAgent_Approach_for_REST_API_Testing_with_Semantic_Graphs_and_LLMDriven_Inputs.pdf
rayyan-394626722,NIODebugger: A Novel Approach to Repair Non-Idempotent-Outcome Tests with LLM-Based Agent,2025,Reparação de Flaky Tests (especificamente do tipo NIO - Non-Idempotent-Outcome),GPT-4 (melhor desempenho) GPT-3.5 Qwen 2.5 DeepSeek-Coder,NIODebugger (Agente baseado em LLM) Implementado como um plugin Maven para Java,"Utiliza um sistema de três fases (deteção, exploração e correção) O agente de IA planeia e executa ações de forma autónoma para extrair código-fonte relevante fora do método de teste, simulando um programador humano para resolver ""poluição de estado""",Alta (ICSE 2025) Testado em 20 projetos open-source de larga escala Gerou patches corretos para 101 de 172 testes NIO 58 patches foram fundidos (merged) em repositórios reais,Janela de Contexto: A capacidade de incluir código fonte relevante é limitada pelo tamanho da janela do LLM Dependência de Análise Dinâmica: Requer múltiplas execuções para identificar padrões de falha,"Primeiro framework a usar um agente autónomo para corrigir flaky tests. É capaz de ""limpar"" o estado poluído de forma autónoma através de instruções que o próprio LLM gera para procurar métodos de limpeza no código",,,Proceedings - International Conference on Software Engineering,,,,1014 - 1025,"Ke, Kaiyao",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010297534&doi=10.1109%2FICSE55347.2025.00226&partnerID=40&md5=9fae623678ae69408c15f101a9b493d6,,,,,Cited by: 1,10.1109/ICSE55347.2025.00226,Codes (symbols); Nickel oxide; Open source software; Open systems; Repair; Software agents; Conte...,,,NIODebugger_A_Novel_Approach_to_Repair_NonIdempotentOutcome_Tests_with_LLMBased_Agent.pdf
rayyan-394626726,Automated Bug Discovery in Cloud Infrastructure-as-Code Updates with LLM Agents,2025,Teste de Atualizações de Infraestrutura (IaC) Descoberta de bugs em operações de atualização (Update logic) Geração de programas Terraform,GPT-4o,"IaC-BugFinder (Sistema multi-agente). Inclui agentes: Generator, Executor e Analyzer","Utiliza agentes para gerar programas IaC iniciais e, em seguida, gerar de forma autónoma sequências de atualização (mudar parâmetros, relações) O Analyzer compara o estado final da nuvem com o estado desejado para detetar discrepâncias (bugs)","PoC Acadêmica (AIOps 2025). Testado contra o provedor Terraform da AWS Descobriu 4 bugs críticos (3 no provedor AWS e 1 no Terraform core), todos confirmados pelos desenvolvedores",Custo de Token: Sequências longas de atualização aumentam o custo Oráculos de Teste: Dificuldade em distinguir se uma falha é do provedor de nuvem ou da ferramenta de teste,"""IaC-BugFinder automatiza a descoberta de bugs em atualizações de infraestrutura... um domínio onde o teste manual é impraticável devido ao vasto espaço de estados."" [pág. 1, 5]",,,,,,,20 - 25,"Xiang, Yiming and Yang, Zhenning and Peng, Jingjia and Bauer, Hermann and Kon, Patrick Tser Jern and Qiu, Yiming and Chen, Ang",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009458915&doi=10.1109%2FAIOps66738.2025.00011&partnerID=40&md5=22fec64a714f3a2c99b17a030e2ddc74,,,,,Cited by: 1,10.1109/AIOps66738.2025.00011,Cloud computing; Cloud platforms; Codes (symbols); Program debugging; Software reliability; Cloud...,,,Automated Bug Discovery in Cloud Infrastructure-as-Code Updates with LLM Agents_msW.pdf
rayyan-394626728,Human-In-The-Loop Software Development Agents: Challenges and Future Directions,2025,"Testes unitários: testes FAIL_TO_PASS e testes PASS_TO_PASS para verificar a resolução de problemas e manter a funcionalidade existente. Análise estática usando SonarQube para avaliar métricas de qualidade de código, como cheiros de código, complexidade e duplicação.",GPT-4 (as part of AppMap Navie + GPT 4o),Not mentioned,Avaliando patches de agentes de desenvolvimento de software em problemas reais do GitHub para avaliar seu impacto na qualidade do código,"Método de avaliação: Comparação de patches gerados por agentes com ""patches dourados"" de desenvolvedores de repositórios. Métricas de desempenho: precisão, recall, pontuação F1 para alinhamento com patches dourados; SonarQube para confiabilidade, segurança e manutenibilidade. Testes estatísticos: teste de postos sinalizados de Wilcoxon e teste U de Mann-Whitney para mudanças significativas na qualidade do código e resolução de problemas. Principais conclusões: Nenhum agente único dominou; os agentes mantiveram confiabilidade e segurança, mas variaram em complexidade e duplicação; melhor desempenho em tarefas mais simples.",Limitação na avaliação do SWE-Bench: Os patches gerados pelo agente podem não ser totalmente cobertos pelos casos de teste atuais. Possíveis problemas de viés de coleta de dados e confiabilidade de medição. Generalizabilidade limitada para outras linguagens de programação ou tipos de projetos. As métricas podem não capturar totalmente todos os aspectos da qualidade do código ou do desempenho do agente. A suposição de que as manchas de ouro são ótimas pode nem sempre ser precisa. Necessidade de pesquisas futuras para melhorar o tratamento de cenários complexos e questões propensas à vulnerabilidade.,"O estudo fornece a primeira avaliação abrangente dos patches dos agentes de desenvolvimento de software sobre problemas reais do GitHub, destacando que nenhum agente domina e sugerindo que dividir tarefas complexas em tarefas mais simples pode melhorar a eficácia. A maioria dos agentes mantém a confiabilidade e a segurança do código, mas precisa de melhorias para minimizar a complexidade e a duplicação do código",,,,,,,756 - 757,"Pasuksmit, Jirat and Takerngsaksiri, Wannita and Thongtanunam, Patanamon Pick and Tantithamthavorn, Kla (kla) and Zhang, Ruixiong and Wang, Shiyan and Jiang, Fan and Li, Jing and Cook, Evan and Chen, Kun and Wu, Ming",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009162123&doi=10.1109%2FMSR66628.2025.00112&partnerID=40&md5=698142c669aae605243d9a432638bec7,,,,,Cited by: 0,10.1109/MSR66628.2025.00112,Information systems; Intelligent agents; Multi agent systems; Software quality; Software testing;...,,,Human-In-The-Loop_Software_Development_Agents_Challenges_and_Future_Directions.pdf
rayyan-394626731,Special Session: ThreatLens: LLM-guided Threat Modeling and Test Plan Generation for Hardware Security Verification,2025,"Modelagem de Ameaças de Segurança (Threat Modeling) e Geração de Planos de Teste de Segurança Foco específico em vulnerabilidades de hardware exploráveis por software (ex: escalonamento de privilégios, corrupção de memória) e ataques à cadeia de suprimentos.",GPT-4o Utilizou OpenAI embeddings para a representação semântica no RAG,"ThreatLens (Framework Multi-agente) Composto por agentes especializados: Threat Identification Agent, Security Policy Generator Agent e Test Plan Generator Agent Tecnologias base: LangChain, RAG (Retrieval-Augmented Generation) e FAISS (para busca de similaridade)","RAG: Extrai conhecimento de segurança de papers acadêmicos e manuais de instruções (ISA) para contextualizar o modelo Fluxo Multi-Agente: Um agente identifica a ameaça, outro extrai a política de segurança do manual (ex: RISC-V ISA), e um terceiro gera o plano de teste Refinamento: O sistema interage com o engenheiro apenas para validar suposições iniciais, atualizando dinamicamente seu ""banco de perguntas""","Estudo de Caso em SoC Real Resultado: A ferramenta gerou automaticamente 854 políticas de segurança únicas, cobrindo vulnerabilidades críticas como violações de PMP (Physical Memory Protection) Validado através de estudos de caso onde a falha na verificação destas políticas levou a hacks reais","Dependência de Modelo Fechado: O uso do GPT-4o implica custos computacionais elevados e dependência de API externa Falta de Extração de Ativos: O sistema ainda não extrai automaticamente todos os ""security assets"" do design, o que poderia reduzir consultas redundantes","Eficiência na Atualização: O artigo destaca que métodos manuais ""lutam para escalar"" com a evolução das metodologias de ataque. A abordagem agêntica permite atualizar o Test Plan apenas ingerindo novos papers de segurança na base RAG, sem reescrever o código do agente Autonomia: A capacidade de gerar 854 políticas de forma autónoma demonstra um ganho de eficiência massivo sobre a verificação manual",,,Proceedings of the IEEE VLSI Test Symposium,,,,,"Saha, Dipayan and Al-Shaikh, Hasan and Tarek, Shams and Farahmandi, Farimah",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008498031&doi=10.1109%2FVTS65138.2025.11022932&partnerID=40&md5=7aa515b66bd36cec92dc68c0e6f83d34,,,,,Cited by: 0,10.1109/VTS65138.2025.11022932,Computer hardware; Human computer interaction; Verification; Hardware security and trust; LLM; Pl...,,,Special Session ThreatLens LLM-guided Threat Modeling and Test Plan Generation for Hardware Security Verification_8OZ.pdf
rayyan-394626732,CKGFuzzer: LLM-Based Fuzz Driver Generation Enhanced By Code Knowledge Graph,2025,Fuzz testing automatizado geração automática de fuzz drivers geração de input seeds mutação guiada por cobertura análise automática de crashes,DeepSeek-V2-Coder (geração e repair) DeepSeek-V2-Chat (agentes auxiliares) LLMs para sumarização e raciocínio,CKGFuzzer – sistema multiagente integrado a Code Knowledge Graph + RAG customizado + libFuzzer/OSS-Fuzz,Geração autônoma de fuzz drivers a partir de APIs reparo automático de erros de compilação geração inicial de seeds via LLM mutação de combinações de APIs baseada em cobertura classificação e análise de crashes via cadeia de raciocínio,"Protótipo acadêmico avançado, avaliado empiricamente em 8 bibliotecas open-source métricas quantitativas (branch coverage, taxa de compilação, bugs reais encontrados) comparação com OSS-Fuzz e PromptFuzz",Dependência forte da qualidade do Code Knowledge Graph avaliado apenas em bibliotecas C/C++ alto custo computacional; risco de alucinações do LLM generalização para outras linguagens ainda não validada,#ERROR!,,,Proceedings - International Conference on Software Engineering,,,,243 - 254,"Xu, Hanxiang and Ma, Wei and Zhou, Ting and Zhao, Yanjie and Chen, Kai and Hu, Qiang and Liu, Yang and Wang, Haoyu",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008497196&doi=10.1109%2FICSE-Companion66252.2025.00079&partnerID=40&md5=3f96e9b2e02faa23fe1edaa25aa1a65b,,,,,Cited by: 0,10.1109/ICSE-Companion66252.2025.00079,Accidents; Application programming interfaces (API); Codes (symbols); Computer software selection...,,,CKGFuzzer LLM-Based Fuzz Driver Generation Enhanced By Code Knowledge Graph_d2B.pdf
rayyan-394626734,AutoRestTest: A Tool for Automated REST API Testing Using LLMs and MARL,2025,"Teste automatizado de REST APIs geração automática de sequências de operações geração de parâmetros, valores e headers exploração de dependências entre operações detecção de erros 4xx/5xx fuzzing leve por mutação de requisições","LLMs da OpenAI (ex.: GPT-4o, GPT-4o-mini, o1, o1-mini) usados para geração de valores realistas e headers foco exclusivo em REST APIs LLM restrito à geração de valores (não gera lógica de teste completa) dependência de OAS 3.0 custos associados ao uso de LLMs","AutoRestTest – framework híbrido com Multi-Agent Reinforcement Learning (MARL) + Semantic Property Dependency Graph (SPDG) + agentes especializados (operation, parameter, value, dependency, header)","O LLM é usado principalmente para gerar valores de parâmetros e headers MARL seleciona operações, dependências e combinações execução iterativa com feedback baseado em respostas HTTP (2xx, 4xx, 5xx) atualização contínua das Q-tables","Protótipo acadêmico funcional, avaliado empiricamente em 4 APIs REST reais (FDIC, OMDb, OhSome, Spotify) métricas quantitativas (operações exercitadas, erros únicos, status codes) comparação direta com RESTler, EvoMaster, ARAT-RL e MoRest",Avaliação preliminar (tempo fixo de 1h),unica ferramenta a obter respostas 2xx no serviço OhSome detectou erro 5xx inédito no Spotify,,,Proceedings - International Conference on Software Engineering,,,,21 - 24,"Stennett, Tyler and Kim, Myeongsoo and Sinha, Saurabh and Orso, Alessandro",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008493507&doi=10.1109%2FICSE-Companion66252.2025.00015&partnerID=40&md5=6b424c86446186db5a71163dacbdd1aa,,,,,Cited by: 0,10.1109/ICSE-Companion66252.2025.00015,Application programming interfaces (API); Error detection; Fault detection; Intelligent agents; M...,,,2501.08600v2.pdf
rayyan-394626736,Towards Architectural Pen Test Case Generation and Attack Surface Analysis to Support Secure Design,2025,Geração de casos de teste de penetração (architectural penetration test cases) análise de superfície de ataque priorização de testes de segurança suporte a security testing na fase de design,"LLMs (não especificados), planejados para geração de casos de teste e apoio à threat modeling","Framework conceitual proposto (baseado em modelos arquiteturais como PCM, threat modeling, CWE/CAPEC/CVE, com futura integração de LLMs)","Uso planejado de LLMs para gerar casos de teste de penetração a partir de modelos arquiteturais, priorizá-los com base em severidade e apoiar arquitetos com feedback de segurança ainda na fase de design",Proposta de pesquisa / plano conceitual sem implementação nem avaliação empírica no momento,Não há implementação ausência de avaliação experimental modelo GenAI não definido abordagem ainda hipotética foco restrito à fase de design,LLMs são citados como tecnologia habilitadora futura,,,,,,,143 - 148,"Sarvejahani, Mahdi Jafari",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007880639&doi=10.1109%2FICSA-C65153.2025.00027&partnerID=40&md5=c705d9b1be50927d023e0e9155558783,,,,,Cited by: 0,10.1109/ICSA-C65153.2025.00027,Computer operating systems; Computer software selection and evaluation; Embedded software; Intell...,,,Towards_Architectural_Pen_Test_Case_Generation_and_Attack_Surface_Analysis_to_Support_Secure_Design.pdf
