Coluna 1,type_of_reference,authors,title,year,secondary_title,volume,start_page,end_page,doi,urls,abstract,keywords,type_of_work,name_of_database,notes,custom7,number,short_title,asreview_label,asreview_time,asreview_note
115,JOUR,"['Dong, Y.', 'Jiang, X.', 'Jin, Z.', 'LI, G.']",Self-Collaboration Code Generation via ChatGPT,2024,ACM Transactions on Software Engineering and Methodology,33,,,10.1145/3672459,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198255497&doi=10.1145%2F3672459&partnerID=40&md5=c103ee9b9813f3e4926767fd4a5695f6'],"Although large language models (LLMs) have demonstrated remarkable code-generation ability, they still struggle with complex tasks. In real-world software development, humans usually tackle complex tasks through collaborative teamwork, a strategy that significantly controls development complexity and enhances software quality. Inspired by this, we present a self-collaboration framework for code generation employing LLMs, exemplified by ChatGPT. Specifically, through role instructions, (1) Multiple LLM agents act as distinct ""experts,""each responsible for a specific subtask within a complex task; (2) Specify the way to collaborate and interact, so that different roles form a virtual team to facilitate each other's work, ultimately the virtual team addresses code generation tasks collaboratively without the need for human intervention. To effectively organize and manage this virtual team, we incorporate software-development methodology into the framework. Thus, we assemble an elementary team consisting of three LLM roles (i.e., analyst, coder, and tester) responsible for software development's analysis, coding, and testing stages. We conduct comprehensive experiments on various code-generation benchmarks. Experimental results indicate that self-collaboration code generation relatively improves 29.9-47.1% Pass@1 compared to the base LLM agent. Moreover, we showcase that self-collaboration could potentially enable LLMs to efficiently handle complex repository-level tasks that are not readily solved by the single LLM agent. © 2024 Elsevier B.V., All rights reserved.","['Code generation', 'large language models', 'multi-agent collaboration', 'software development', 'Benchmarking', 'Computer software selection and evaluation', 'Intelligent agents', 'Intelligent virtual agents', 'Program assemblers', 'Software testing', 'Agent collaboration', 'Codegeneration', 'Complex task', 'Language model', 'Large language model', 'Model agents', 'Multi agent', 'Multi-agent collaboration', 'Real-world', 'Virtual team', 'Chatbots']",Article,Scopus,['Export Date: 30 October 2025; Cited By: 50'],189,7,,1,2025-11-26 18:56:20,
146,CONF,"['Zhang, K.', 'Li, J.', 'LI, G.', 'Shi, X.', 'Jin, Z.']",CODEAGENT: Enhancing Code Generation with Tool-Integrated Agent Systems for Real-World Repo-level Coding Challenges,2024,Proceedings of the Annual Meeting of the Association for Computational Linguistics,1,13643,13658,10.18653/v1/2024.acl-long.737,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204422336&doi=10.18653%2Fv1%2F2024.acl-long.737&partnerID=40&md5=99fd7c9dd58ad15390110ca57961ce7c'],"Large Language Models (LLMs) have shown promise in automated code generation but typically excel only in simpler tasks such as generating standalone code units. However, real-world software development often involves complex code repositories with complex dependencies and extensive documentation. To enable LLMs to handle these real-world repo-level code generation, we present CODEAGENT, a novel LLM-based agent framework that employs external tools for effective repo-level code generation. CODEAGENT integrates five programming tools, enabling interaction with software artifacts for information retrieval, code implementation, and code testing. We implement four agent strategies to optimize these tools' usage. To the best of our knowledge, CODEAGENT is the first agent framework specifically for repo-level code generation. In order to measure the effectiveness of our method at the repository level, we design a repo-level benchmark CODEAGENTBENCH. The performance on this benchmark shows a significant improvement brought by our method, with improvements in pass rate ranging from 2.0 to 15.8. Further tests on the HumanEval benchmark confirm CODEAGENT's adaptability and efficacy across various code generation tasks. Notably, CODEAGENT outperforms commercial products like GitHub Copilot, showcasing superior accuracy and efficiency. These results demonstrate CODEAGENT's robust capabilities in code generation, highlighting its potential for real-world repo-level coding challenges. © 2025 Elsevier B.V., All rights reserved.","['Autonomous agents', 'Benchmarking', 'Computational linguistics', 'Intelligent agents', 'Search engines', 'System program documentation', 'Agent Framework', 'Agent systems', 'Automated code generation', 'Codegeneration', 'Complex codes', 'Excel', 'Language model', 'Model-based OPC', 'Real-world', 'Simple++', 'Software testing']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 3'],,,,1,2025-11-26 18:56:29,
89,CONF,"['Chen, Z.', 'Jiang, L.']","Evaluating Software Development Agents: Patch Patterns, Code Quality, and Issue Complexity in Real-World GitHub Scenarios",2025,,,657,668,10.1109/SANER64311.2025.00068,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007302779&doi=10.1109%2FSANER64311.2025.00068&partnerID=40&md5=1e5568549f4eba6213f35f8ccaa4be56'],"In recent years, AI-based software engineering has progressed from pre-trained models to advanced agentic workflows, with Software Development Agents representing the next major leap. These agents, capable of reasoning, planning, and interacting with external environments, offer promising solutions to complex software engineering tasks. However, while much research has evaluated code generated by large language models (LLMs), comprehensive studies on agent-generated patches, particularly in real-world settings, are lacking. This study addresses that gap by evaluating 4,892 patches from 10 top-ranked agents on 500 real-world GitHub issues from SWE-Bench Verified, focusing on their impact on code quality. Our analysis shows no single agent dominated, with 170 issues unresolved, indicating room for improvement. Even for patches that passed unit tests and resolved issues, agents made different file and function modifications compared to the gold patches from repository developers, revealing limitations in the benchmark's test case coverage. Most agents maintained code reliability and security, avoiding new bugs or vulnerabilities; while some agents increased code complexity, many reduced code duplication and minimized code smells. Finally, agents performed better on simpler codebases, suggesting that breaking complex tasks into smaller sub-tasks could improve effectiveness. This study provides the first comprehensive evaluation of agent-generated patches on real-world GitHub issues, offering insights to advance AI-driven software development. © 2025 Elsevier B.V., All rights reserved.","['Code Quality', 'GitHub Issues', 'Large Language Models', 'Patch Generation', 'Software Development Agents', 'Application programs', 'Computer operating systems', 'Computer software maintenance', 'Computer software selection and evaluation', 'Groupware', 'Intelligent agents', 'Mobile agents', 'Open source software', 'Software design', 'Software packages', 'Software prototyping', 'Software quality', 'Software reliability', 'Software testing', 'Subroutines', 'Verification', 'Code quality', 'Evaluating software', 'Github issue', 'Language model', 'Large language model', 'Patch generation', 'Patch patterns', 'Pattern code', 'Real-world', 'Software development agent', 'Autonomous agents']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 18:56:37,
164,CONF,"['Mündler, N.', 'Müller, M.N.', 'He, J.', 'Vechev, M.']",SWT-Bench: Testing and Validating Real-World Bug-Fixes with Code Agents,2024,Advances in Neural Information Processing Systems,37,,,,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000529637&partnerID=40&md5=64830080c1fd8ab3a15e5f855dd9811b'],"Rigorous software testing is crucial for developing and maintaining high-quality code, making automated test generation a promising avenue for both improving software quality and boosting the effectiveness of code generation methods. However, while code generation with Large Language Models (LLMs) is an extraordinarily active research area, test generation remains relatively unexplored. We address this gap and investigate the capability of LLM-based Code Agents to formalize user issues into test cases. To this end, we propose a novel benchmark based on popular GitHub repositories, containing real-world issues, ground-truth bug-fixes, and golden tests. We find that LLMs generally perform surprisingly well at generating relevant test cases, with Code Agents designed for code repair exceeding the performance of systems designed specifically for test generation. Further, as test generation is a similar but more structured task than code generation, it allows for a more fine-grained analysis using issue reproduction rate and coverage changes, providing a dual metric for analyzing systems designed for code repair. Finally, we find that generated tests are an effective filter for proposed code fixes, doubling the precision of SWE-AGENT. We release all data and code at github.com/logic-star-ai/SWT-Bench. © 2025 Elsevier B.V., All rights reserved.",,Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 2'],,,,1,2025-11-26 18:57:01,
50,CONF,"['Dulai, T.', 'Kiss, G.']",An LLM-based software developer agent demonstrated through a port-logistic optimization case study,2025,,,,,10.1109/ACDSA65407.2025.11166656,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018454710&doi=10.1109%2FACDSA65407.2025.11166656&partnerID=40&md5=07beea4a4eddd6e7f441df7515005770'],"Advancements in artificial intelligence (AI) are having a significant impact across various domains. Among these, generative AI models - particularly large language models (LLMs) - have brought substantial changes to a wide range of activities and professions. As these models are capable of handling complex business workflows and interacting with external tools (e.g., via APIs), their agentic behaviour becomes especially valuable for supporting diverse workflows. Software development is one of the domains that can greatly benefit from the use of LLM-based agents. We have developed a software developer agent using the LangGraph platform, capable of generating and validating the software requirements specification (SRS), design document specification (DDS), project structure, function implementations, and corresponding unit tests - all based on a well-formulated input prompt. After successfully testing the agent on the relatively simple task of generating a Snake game, we applied it to a more complex problem: an optimization scenario. A simulation framework was developed to optimize port logistics processes, such as routing and scheduling trucks and vessels. This framework allows for port structure customization and, thanks to its modular design, supports the evaluation of various optimization algorithms. Using this framework, we investigated how our software developer agent performs on a significantly more complex coding task compared to the Snake game. We also compared the results with those generated by two widely used LLM-based systems: ChatGPT and Gemini Code Assist. © 2025 Elsevier B.V., All rights reserved.","['agentic LLM', 'AI-assisted software development', 'port logistic optimization', 'Computer programming', 'Intelligent agents', 'Logistics', 'Ports and harbors', 'Software testing', 'Specifications', 'Agentic large language model', 'Artificial intelligence-assisted software development', 'Case-studies', 'Intelligence models', 'Language model', 'Logistics optimization', 'Model-based OPC', 'Port logistic optimization', 'Ports logistics', 'Software developer', 'Software design']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 18:57:45,
18,CONF,"['Huang, B.', 'Yu, Y.', 'Huang, J.', 'Zhang, X.', 'Ma, J.W.']",DCA-Bench: A Benchmark for Dataset Curation Agents,2025,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,2,5482,5492,10.1145/3711896.3737422,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014362039&doi=10.1145%2F3711896.3737422&partnerID=40&md5=fe0bf44c620b538b3308c99a81c94e05'],"The quality of datasets plays an increasingly crucial role in the research and development of modern artificial intelligence (AI). Despite the proliferation of open dataset platforms nowadays, data quality issues, such as incomplete documentation, inaccurate labels, ethical concerns, and outdated information, remain common in widely used datasets. Furthermore, these issues are often subtle and difficult to be detected by rule-based scripts, therefore requiring identification and verification by dataset users or maintainers-a process that is both time-consuming and prone to human mistakes. With the surging ability of large language models (LLM), it's promising to streamline the discovery of hidden dataset issues with LLM agents. To achieve this, one significant challenge is enabling LLM agents to detect issues in the wild rather than simply fixing known ones. In this work, we establish a benchmark to measure LLM agent's ability to tackle this challenge. We carefully curate 221 real-world test cases from eight popular dataset platforms and propose an automatic evaluation framework using GPT-4o. Our proposed framework shows strong empirical alignment with expert evaluations, validated through extensive comparisons with human annotations. Without any hints, most competitive Curator agent can only reveal ∼30% of the data quality issues in the proposed dataset, highlighting the complexity of this task and indicating that applying LLM agents to real-world dataset curation still requires further in-depth exploration and innovation. The data and code is available at https://github.com/TRAIS-Lab/dca-bench. © 2025 Elsevier B.V., All rights reserved.","['automatic evaluation', 'dataset curation', 'large language models', 'Artificial intelligence', 'Data curation', 'Human computer interaction', 'Intelligent agents', 'Large datasets', 'Open Data', 'Statistical tests', 'Automatic evaluation', 'Curation', 'Data quality', 'Dataset curation', 'Ethical concerns', 'Language model', 'Large language model', 'Model agents', 'Quality issues', 'Research and development', 'Agents']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 18:59:57,
118,CONF,"['Zhang, Y.', 'Ruan, H.', 'Fan, Z.', 'Roychoudhury, A.']",AutoCodeRover: Autonomous Program Improvement,2024,,,1592,1604,10.1145/3650212.3680384,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203182652&doi=10.1145%2F3650212.3680384&partnerID=40&md5=310c02174e2875183e70cc48042048fa'],"Researchers have made significant progress in automating the software development process in the past decades. Automated techniques for issue summarization, bug reproduction, fault localization, and program repair have been built to ease the workload of developers. Recent progress in Large Language Models (LLMs) has significantly impacted the development process, where developers can use LLM-based programming assistants to achieve automated coding. Nevertheless, software engineering involves the process of program improvement apart from coding, specifically to enable software maintenance (e.g. program repair to fix bugs) and software evolution (e.g. feature additions). In this paper, we propose an automated approach for solving Github issues to autonomously achieve program improvement. In our approach called AutoCodeRover, LLMs are combined with sophisticated code search capabilities, ultimately leading to a program modification or patch. In contrast to recent LLM agent approaches from AI researchers and practitioners, our outlook is more software engineering oriented. We work on a program representation (abstract syntax tree) as opposed to viewing a software project as a mere collection of files. Our code search exploits the program structure in the form of classes/methods to enhance LLM's understanding of the issue's root cause, and effectively retrieve a context via iterative search. The use of spectrum-based fault localization using tests, further sharpens the context, as long as a test-suite is available. Experiments on the recently proposed SWE-bench-lite (300 real-life Github issues) show increased efficacy in solving Github issues (19% on SWE-bench-lite), which is higher than the efficacy of the recently reported Swe-agent. Interestingly, our approach resolved 57 GitHub issues in about 4 minutes each (pass@1), whereas developers spent more than 2.68 days on average. In addition, AutoCodeRover achieved this efficacy with significantly lower cost (on average, $0.43 USD), compared to other baselines. We posit that our workflow enables autonomous software engineering, where, in future, auto-generated code from LLMs can be autonomously improved. © 2024 Elsevier B.V., All rights reserved.","['automatic program repair', 'autonomous software engineering', 'autonomous software improvement', 'large language model', 'Computer debugging', 'Computer software maintenance', 'Computer software selection and evaluation', 'Cost engineering', 'Intelligent agents', 'Program debugging', 'Search engines', 'Software testing', 'Syntactics', 'Automatic program repair', 'Automatic programs', 'Autonomous software', 'Autonomous software engineering', 'Autonomous software improvement', 'Code search', 'Fault localization', 'Language model', 'Large language model', 'Software design']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 27'],,,,1,2025-11-26 19:01:47,
163,CONF,"['Ramasamy, V.', 'Ramamoorthy, S.', 'Walia, G.S.', 'Kulpinski, E.', 'Antreassian, A.']",Enhancing User Story Generation in Agile Software Development Through Open AI and Prompt Engineering,2024,"Proceedings - Frontiers in Education Conference, FIE",,,,10.1109/FIE61694.2024.10893343,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000807589&doi=10.1109%2FFIE61694.2024.10893343&partnerID=40&md5=00b4e824a4353767442b7ddb4c19fc19'],"This innovative practice full paper explores the use of AI technologies in user story generation. With the emergence of agile software development, generating comprehensive user stories that capture all necessary functionalities and perspectives has become crucial for software development. Every computing program in the United States requires a semester-or year-long senior capstone project, which requires student teams to gather and document technical requirements. Effective user story generation is crucial for successfully implementing software projects. However, user stories written in natural language can be prone to inherent defects such as incompleteness and incorrectness, which may creep in during the downstream development activities like software designs, construction, and testing. One of the challenges faced by software engineering educators is to teach students how to elicit and document requirements, which serve as a blueprint for software development. Advanced AI technologies have increased the popularity of large language models (LLMs) trained on large multimodal datasets. Therefore, utilizing LLM-based techniques can assist educators in helping students discover aspects of user stories that may have been overlooked or missed during the manual analysis of requirements from various stakeholders. The main goal of this research study is to investigate the potential application of OpenAI techniques in software development courses at two academic institutions to enhance software design and development processes, aiming to improve innovation and efficiency in team project-based educational settings. The data used for the study constitute student teams generating user stories by traditional methods (control) vs. student teams using OpenAI agents (treatment) such as gpt-4-turbo for generating user stories. The overarching research questions include: RQ-l) What aspects of user stories generated using OpenAI prompt engineering differ significantly from those generated using the traditional method? RQ-2) Can the prompt engineering data provide insights into the efficacy of the questions/prompts that affect the quality and comprehensiveness of user stories created by software development teams? Industry experts evaluated the user stories created and analyzed how prompt engineering affects the overall effectiveness and innovation of user story creation, which provided guidelines for incorporating AI-driven approaches into software development practices. Overall, this research seeks to contribute to the growing body of knowledge on the application of AI in software engineering education, specifically in user story generation. Investigating the use of AI technologies in user story generation could further enhance the usability of prompt engineering in agile software development environments. We plan to expand the study to investigate the long-term effects of prompt engineering on all phases of software development. © 2025 Elsevier B.V., All rights reserved.","['Collaboration network', 'complex network analysis', 'structured collaboration network', 'Application programs', 'Behavioral research', 'Computer software selection and evaluation', 'Creep testing', 'Curricula', 'Model checking', 'Negative bias temperature instability', 'Outages', 'Requirements engineering', 'Software agents', 'Software design', 'Software quality', 'Students', 'Teaching', 'Agile software development', 'AI Technologies', 'Collaboration network', 'Complex network analysis', 'Language model', 'Story generations', 'Structured collaboration network', 'Student teams', 'User stories', 'Software testing']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 1'],,,,1,2025-11-26 19:04:13,
100,CONF,"['Puvvadi, M.', 'Kumar, S.K.', 'Santoria, A.', 'Chennupati, S.S.P.', 'Puvvadi, H.V.']",Coding Agents: A Comprehensive Survey of Automated Bug Fixing Systems and Benchmarks,2025,,,680,686,10.1109/CSNT64827.2025.10968728,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004557703&doi=10.1109%2FCSNT64827.2025.10968728&partnerID=40&md5=27ca8232ba7f865a558fab9d05da910c'],"One of the trickiest problems in software engineering is automating software issue fixes, which calls for a thorough comprehension of contextual relationships, code semantics, and dynamic debugging techniques. The development of automatic program repair (APR) is examined in this survey, which traces a path from early template and constraint-based approaches to more recent developments powered by large language models (LLMs). Three main paradigms are compared here: retrieval-augmented approaches that integrate external knowledge sources, agent-based systems that use multi-agent frameworks, and agentless systems that use simplified repair pipelines. Real-world benchmarks that mimic actual engineering workflows and repository-level difficulties, such as SWE-bench, CODEAGENT-BENCH, and CodeRAG-Bench, are used to assess these cutting-edge technologies. This study demonstrates how agentic, agentless, and retrieval- augmented systems use LLMs to achieve previously unheard- of precision and scalability by following the shift from localized, single-file solutions to solving complicated, multi-file, and repository-wide difficulties. According to our findings, while complex agent architectures have potential, straightforward test- time scaling frequently produces better outcomes, especially when paired with containerized environments that allow for parallel exploration. Additionally, the survey looks at industrial applications, emphasizing effective connections with quality assurance and DevOps procedures. In order to further the development of more resilient and flexible APR frameworks that blend in perfectly with contemporary software engineering practices, we conclude by highlighting important issues in context handling and validation and suggesting future research directions in improved contextual models, human-AI collaboration, and multi-modal debugging systems. © 2025 Elsevier B.V., All rights reserved.","['Agent-Based Models', 'AI in Software Development', 'Automated Program Re- pair', 'Context- Aware Debugging', 'Debugging Benchmarks', 'Large Language Models', 'Multi-Agent Systems', 'Software Engineering Automation', 'Application programs', 'Autonomous agents', 'Computer aided software engineering', 'Computer operating systems', 'Computer program listings', 'Computer software maintenance', 'Computer software reusability', 'Computer software selection and evaluation', 'DevOps', 'File editors', 'Intelligent agents', 'Program debugging', 'Reliability analysis', 'Search engines', 'Software packages', 'Software prototyping', 'Software quality', 'Software testing', 'Verification', 'Agent-based model', 'AI in software development', 'Automated program re- pair', 'Context- aware debugging', 'Context-Aware', 'Debugging benchmark', 'Engineering automation', 'Language model', 'Large language model', 'Multiagent systems (MASs)', 'Software engineering automation', 'Software design']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 2'],,,,1,2025-11-26 19:04:26,
130,CONF,"['Stojanovic, D.', 'Pavković, B.', 'Četić, N.', 'Krunić, M.', 'Vidakovic, L.']",Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,2024,,,,,10.1109/TELFOR63250.2024.10819096,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216854650&doi=10.1109%2FTELFOR63250.2024.10819096&partnerID=40&md5=590d88c939c87c1b052534a891819d4c'],"Software development necessitates a robust testing plan though test development can be laborious and nonappealing task. We explore the utilization of the application artificial intelligence agents for generating and executing unit tests, enhancing the 'Mostly Basic Python Problems' dataset. We employ behavior-driven development within a three-agent system to generate user stories and unit tests. Empirical results indicate improvements in branch coverage, illustrating the effective utilization of large language models in software testing and development processes. © 2025 Elsevier B.V., All rights reserved.","['AI agents', 'BDD', 'code generation', 'SW test automation', 'transformers', 'unit test generation', 'Distribution transformers', 'Electric transformer testing', 'Model checking', 'Problem oriented languages', 'Program debugging', 'Software agents', 'Software design', 'System program documentation', 'AI agent', 'AI systems', 'BDD', 'Codegeneration', 'Multi agent', 'SW test automation', 'Test Automation', 'Transformer', 'Unit test generations', 'Unit tests', 'Software testing']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 1'],,,,1,2025-11-26 19:04:38,
56,CONF,"['Cihan, U.', 'Haratian, V.', 'İçöz, A.', 'Gül, M.K.', 'Devran, Ö.', 'Bayendur, E.F.', 'Uçar, B.M.', 'Tüzün, E.']",Automated Code Review In Practice,2025,IEEE/ACM International Conference on Software Engineering - Software Engineering in Practice,,425,436,10.1109/ICSE-SEIP66354.2025.00043,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016229873&doi=10.1109%2FICSE-SEIP66354.2025.00043&partnerID=40&md5=3cfa33e95f22293c166be73421a758c3'],"Context: Code review is a widespread practice among practitioners to improve software quality and transfer knowledge. It is often perceived as time-consuming due to the need for manual effort and potential delays in the development process. Several AI-assisted code review tools (Qodo, GitHub Copilot, Coderabbit, etc.) provide automated code reviews using large language models (LLMs). The overall effects of such tools in the industry setting are yet to be examined. Objective: This study examines the impact of LLM-based automated code review tools in an industry setting. Method: The study was conducted within an industrial software development environment that adopted an AI-assisted code review tool (based on open-source Qodo PR Agent). 238 practitioners across ten projects had access to the tool. We focused our analysis on three projects, which included 4,335 pull requests, 1,568 of which underwent automated reviews. Our data collection comprised three sources: (1) a quantitative analysis of pull request data, including comment labels indicating whether developers acted on the automated comments, (2) surveys sent to developers regarding their experience with the reviews on individual pull requests, and (3) a broader survey of 22 practitioners capturing their general opinions on automated code reviews. Results: 73.8% of automated code review comments were labeled as resolved. However, the overall average pull request closure duration increased from five hours 52 minutes to eight hours 20 minutes, with varying trends observed across different projects. According to survey responses, most practitioners observed a minor improvement in code quality as a result of automated code reviews. Conclusion: The LLM-based automated code review tool proved useful in software development, enhancing bug detection, increasing awareness of code quality, and promoting best practices. However, it also led to longer pull request closure times and introduced drawbacks such as faulty reviews, unnecessary corrections, and irrelevant comments. Based on these findings, we discussed how practitioners can more effectively utilize automated code review technologies. © 2025 Elsevier B.V., All rights reserved.","['AI-assisted code review', 'code review', 'code review automation', 'industry case study', 'large language models', 'pull requests', 'Codes (symbols)', 'Computer programming languages', 'Computer software selection and evaluation', 'Knowledge management', 'Open source software', 'Open systems', 'Software design', 'Software quality', 'AI-assisted code review', 'Automated code', 'Code review', 'Code review automation', 'Industry case studies', 'Language model', 'Large language model', 'Pull request', 'Automation']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 1'],,2025,,1,2025-11-26 19:05:23,
103,CONF,"['Akilesh, S.', 'Sekar, R.', 'Om Kumar, C.U.', 'Prakalya, D.', 'Suguna, M.']",Multi-Agent hierarchical workflow for autonomous code generation with Large Language Models,2025,,,,,10.1109/SCEECS64059.2025.10940635,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002712410&doi=10.1109%2FSCEECS64059.2025.10940635&partnerID=40&md5=82551e1af9a6048e627580f4f80faab8'],"This paper presents a multi-agent hierarchical workflow tailored for automating data analysis, code generation, and visualization, focusing specifically on user-provided CSV datasets. The workflow integrates AlphaCodium with LangChain, LangGraph, and GPT, enabling autonomous code generation, unit test development, and debugging. The system operates by analyzing the uploaded dataset, assigning agents that work sequentially: a programmer agent generates code using the Skeleton-Of-Code approach, a unit test agent verifies the code, and an executor agent runs the code. A debugging agent is also included to identify and resolve any issues. The AI agents involved are capable of dynamically accessing online resources, including documentation and references to enhance their decision-making processes. This work attempts to exemplify the application of AI in automating not only code execution but also the planning and validation stages by writing unit tests in the software development process to reflect the increasing role of AI in advancing automation for rapid code generation within the software industry. © 2025 Elsevier B.V., All rights reserved.","['Autonomous Agents', 'GPTs', 'OpenAI', 'Retrieval-Augmented Generation', 'Software Engineering', 'Ada (programming language)', 'Application programs', 'Autonomous agents', 'C (programming language)', 'Computer debugging', 'Data flow analysis', 'EXAPT (programming language)', 'Multiprocessing programs', 'Process planning', 'Program debugging', 'Program processors', 'Report generators', 'Software testing', 'System program documentation', 'Code visualization', 'Codegeneration', 'GPT', 'Hierarchical workflow', 'Language model', 'Multi agent', 'Openai', 'Retrieval-augmented generation', 'Unit tests', 'Software design']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 1'],,,,1,2025-11-26 19:05:31,
51,CONF,"['Sharanarthi, T.', 'Polineni, S.']","Multi-Agent LLM Collaboration for Adaptive Code Review, Debugging, and Security Analysis",2025,,,541,546,10.1109/MRAI65197.2025.11135756,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017962329&doi=10.1109%2FMRAI65197.2025.11135756&partnerID=40&md5=c1c8dcd7efc5a31fdf3f2f8723e6caf1'],"Automated code review systems have improved software development, yet many lack contextual awareness, leading to redundant feedback and limited adaptability to user-specific coding styles. This paper presents a multi-agent AI-driven framework that leverages FAISS-based memory to improve review efficiency, personalization, and collaboration. The system integrates code review, bug detection, and security analysis agents, operating independently and interactively to analyze and refine code submissions. A feedback mechanism enables users to influence future AI suggestions, ensuring that recommendations evolve based on individual preferences and past interactions. Through structured experiments, we evaluated the impact of FAISS memory on the reduction of redundant feedback, evaluated the effectiveness of collaborative agent execution, and measured the system's ability to adapt to coding patterns over time. The results indicate that the incorporation of FAISS significantly improves AI-assisted development by minimizing unnecessary repetitions while maintaining essential corrective feedback. This research demonstrates the potential of adaptive AI systems in software engineering, contributing to more intelligent, context-aware, and efficient code review methodologies. © 2025 Elsevier B.V., All rights reserved.","['automated code review', 'debugging', 'FAISS', 'Large language models (LLMs)', 'multiagent systems', 'retrieval-augmented generation (RAG)', 'security analysis', 'software quality assurance', 'Codes (symbols)', 'Computer programming languages', 'Computer software selection and evaluation', 'Distributed computer systems', 'Feedback', 'Intelligent agents', 'Quality assurance', 'Software design', 'Software quality', 'Automated code', 'Automated code review', 'Code review', 'Debugging', 'FAISS', 'Language model', 'Large language model', 'Multi agent', 'Retrieval-augmented generation', 'Security analysis', 'Software quality assurance', 'Multi agent systems', 'Quality control']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 0'],,,,1,2025-11-26 19:07:22,
153,CONF,"['Qian, C.', 'Liu, W.', 'Liu, H.', 'Chen, N.', 'Dang, Y.', 'Li, J.', 'Yang, C.', 'Chen, W.', 'Su, Y.', 'Cong, X.', 'Xu, J.', 'Li, D.', 'Liu, Z.', 'Sun, M.']",ChatDev: Communicative Agents for Software Development,2024,Proceedings of the Annual Meeting of the Association for Computational Linguistics,1,15174,15186,10.18653/v1/2024.acl-long.810,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197091676&doi=10.18653%2Fv1%2F2024.acl-long.810&partnerID=40&md5=c71c0c92f0115ee34a983a62e5d9a761'],"Software development is a complex task that necessitates cooperation among multiple members with diverse skills. Numerous studies used deep learning to improve specific phases in a waterfall model, such as design, coding, and testing. However, the deep learning model in each phase requires unique designs, leading to technical inconsistencies across various phases, which results in a fragmented and ineffective development process. In this paper, we introduce ChatDev, a chat-powered software development framework in which specialized agents driven by large language models (LLMs) are guided in what to communicate (via chat chain) and how to communicate (via communicative dehallucination). These agents actively contribute to the design, coding, and testing phases through unified language-based communication, with solutions derived from their multi-turn dialogues. We found their utilization of natural language is advantageous for system design, and communicating in programming language proves helpful in debugging. This paradigm demonstrates how linguistic communication facilitates multi-agent collaboration, establishing language as a unifying bridge for autonomous task-solving among LLM agents. The code and data are available at https://github.com/OpenBMB/ChatDev. © 2025 Elsevier B.V., All rights reserved.","['Autonomous agents', 'Computational linguistics', 'Computer debugging', 'Program debugging', 'Software design', 'Software testing', 'Unified Modeling Language', 'Coding phasis', 'Complex task', 'Design phase', 'Development process', 'Language model', 'Learning models', 'Software development framework', 'Testing phase', 'Unified language', 'Waterfall model', 'Chatbots']",Conference paper,Scopus,['Export Date: 30 October 2025; Cited By: 75'],,,,1,2025-11-26 19:07:25,
