ID,Título do paper,Estudo / Ferramenta,Técnica (como),Fase (quando),SWEBOK,Tipo (o quê valida),ISO25010 alvo,Arquitetura,Atividade predominante,Prioridade,Observações
S11,An LLM-based software developer agent demonstrated through a port-logistic optimization case study,LangGraph Dev Agent,Competição Multi-Modelo (GPT-4o vs Claude 3.7) para geração e validação.,Coding (Implementation),Unit / Code-based,Funcional (Implementação),Functional Suitability,MAS (Multi-Agent System),Geração (Código + Teste Simultâneos),Experimental,"Testes são subproduto, não foco; sem métricas de qualidade de teste; arquitetura de fluxo (LangGraph) com validação competitiva."
S12,"Multi-Agent LLM Collaboration for Adaptive Code Review, Debugging, and Security Analysis",Adaptive Multi-Agent Framework,Static Analysis via Parallel Agents + RAG (FAISS Memory),Coding / Maintenance,Unit / Code-based (Static Analysis),Não-Funcional (Segurança) e Funcional (Lógica),"Security, Maintainability, Functional Suitability",MAS (Multi-Agent System),Code Review & Debugging,CI/Review,"Introduz memória (FAISS) para reduzir feedback redundante e adaptar-se ao estilo do dev; foca em análise estática, não em execução de testes."
S13,Enhancing LLM-based Quantum Code Generation with Multi-Agent Optimization and Quantum Error Correction,Multi-Agent QEC Framework,Fine-Tuning (StarCoder) + CoT/SCoT (GPT-4o) + RAG,Coding / Unit Testing,Unit / Specification-based & Code-based,Funcional (Semântica) e Não-Funcional (Robustez ao Ruído),"Reliability (Fault Tolerance), Functional Suitability",MAS (Multi-Agent System),Code Gen & Error Correction,Experimental/Niche,Aplicação em domínio não-determinístico (Quantum); validação estatística (pass@k) sob ruído; usa modelo pequeno especializado + modelo grande generalista.
S14,OpenROAD Agent: An Intelligent Self-Correcting Script Generator for OpenROAD,OpenROAD Agent,Feedback Loop baseado em Falhas de Execução e Métricas Físicas (DRC/Timing).,Design / Coding,Integration / Defect-based & Specification-based,Funcional (Validade do Script) e Não-Funcional (PPA),"Functional Suitability, Performance Efficiency",LLM-Driven (Agentic Loop),Geração de Scripts e Auto-Debugging (Self-Correction),Experimental/Domain-Specific,"O ambiente (OpenROAD) atua como oráculo; validação indireta via métricas de qualidade de hardware (PPA: Power, Performance, Area)."
S15,Toward Generative 6G Simulation: An Experimental Multi-Agent LLM and ns-3 Integration,Multi-Agent ns-3 Framework,"LangGraph Agents (Design, Execute, Analyze) integrados ao simulador ns-3.",System Design / Simulation,System / Specification-based & Defect-based,Funcional (Cenários de Rede) e Performance,"Functional Suitability, Performance Efficiency",MAS (Multi-Agent System),"Design de Testes, Execução e Análise de Resultados",Experimental/Domain-Specific,"Loop completo de QA: o ""Test Designer Agent"" cria a suíte, e o ""Result Interpreter"" guia a correção do código da simulação; foco em métricas 6G."
S16,AgentTester: An LLM-Based Tool for Unit Test Generation with Automatically Generated Prompts,AgentTester,"AutoPrompting, Prompt Distillation & Validation-Repair Loop",Coding,Unit / Code-based,Funcional (Correção e Cobertura),Functional Suitability (Completeness),LLM-Driven (Agentic Pipeline),"Geração, Otimização de Prompt e Self-Repair",Experimental,"Supera EvoSuite em Line Coverage, mas perde em Branch Coverage; usa ""Prompt Distillation"" para focar o contexto; alta taxa de erro de compilação (27%) ainda é um desafio."
S17,Comprehensive Study on Integrating AI-Powered Threat Intelligence Using Large Language Models,Hierarchical AI Agent System,Graph Algorithms (Bellman-Ford) + Multi-Agent Orchestration (Gemini 1.5 Pro),System Testing / Operations,System / Experience-based (Attacks) & Defect-based,Não-Funcional (Segurança Ofensiva),"Security (Vulnerability), Resource Utilization",MAS (Multi-Agent System),Automated Penetration Testing (APT) & Network Mapping,Experimental/Edge,Execução em hardware de borda (Raspberry Pi 5); arquitetura hierárquica (Supervisor -> Times); combina busca em grafos (determinística) com LLM (probabilístico) para mitigar alucinação na navegação.
S18,A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,AutoRestTest,Multi-Agent Reinforcement Learning (MARL) + Semantic Graphs + LLM Value Gen,Integration / System Testing,System / Specification-based (OpenAPI) & Experience-based (RL),Funcional (Cobertura) e Robustez (Server Errors),"Functional Suitability, Reliability",MAS (Hybrid RL + LLM),Geração de Inputs e Inferência de Dependências,High/ICSE,Abordagem estado-da-arte que combina RL (estratégia) com LLM (dados); superou ferramentas clássicas (RESTler/EvoMaster); estudo de ablação prova que o LLM contribui com ~12% da cobertura.
S19,NIODebugger: A Novel Approach to Repair Non-Idempotent-Outcome Tests with LLM-Based Agent,NIODebugger,"Agentic Exploration (Detection, Exploration, Repair)",Maintenance / Regression,Software Maintenance / Defect Characterization,Funcional (Estabilidade/Flakiness),"Maintainability (Testability), Reliability",Agent-Based (State Exploration),Automated Test Repair (Self-Healing),High/ICSE,"Foca em ""State Pollution"" (NIO); o agente navega no projeto para encontrar métodos de limpeza existentes em vez de alucinar código novo; 58 PRs aceitos em projetos reais."
S20,Automated Bug Discovery in Cloud Infrastructure-as-Code Updates with LLM Agents,IaC-BugFinder,"Multi-Agent State Exploration (Generator, Executor, Analyzer)",Operations / Deployment,Configuration Management / Testing,Funcional (Consistência de Estado) e Confiabilidade,"Reliability (Fault Tolerance), Functional Suitability",MAS (Multi-Agent System),Detecção de Bugs em Atualizações (Update Logic),High/AIOps,Foca na transição de estados (Day 2 Operations); descobriu 4 bugs confirmados no Terraform/AWS; aborda o problema do oráculo em nuvem (comparar estado desejado vs. real).
S21,Human-In-The-Loop Software Development Agents: Challenges and Future Directions,Empirical Evaluation (AppMap Navie + GPT-4o),Static Analysis (SonarQube) + Regression Testing (Pass/Fail),Maintenance / Evolution,Software Quality / Maintenance,Funcional (Correção de Issue) e Não-Funcional (Qualidade do Código),"Maintainability (Complexity, Duplication), Reliability",Agent-Based (Human-in-the-Loop),Patch Generation & Code Quality Assessment,High/Empirical,"Avalia não só se o patch resolve o bug, mas se introduz Dívida Técnica (Code Smells); compara com ""Gold Patches"" humanos; conclui que agentes aumentam complexidade e duplicação."
S22,Special Session: ThreatLens: LLM-guided Threat Modeling and Test Plan Generation for Hardware Security Verification,ThreatLens,Multi-Agent RAG (Papers + ISA Manuals),Design / Verification,Software Quality (Security) / Construction,"Não-Funcional (Segurança, Vulnerabilidades de Hardware/Firmware)","Security (Confidentiality, Integrity)",MAS + RAG (Knowledge-Driven),Threat Modeling & Test Plan Generation,High/Specialized,"Foca na interface Hardware/Software (RISC-V); RAG permite ""atualizar"" o agente com novos papers de segurança sem reescrever código; gerou 854 políticas de segurança; reduz a dependência de especialistas humanos raros."
S23,CKGFuzzer: LLM-Based Fuzz Driver Generation Enhanced By Code Knowledge Graph,CKGFuzzer,Multi-Agent + Code Knowledge Graph (Graph-RAG) + DeepSeek-V2,Unit / Integration Testing,Testing / Test Generation,Funcional (Crashes) e Segurança (Vulnerabilidades de Memória),"Security, Reliability (Robustness)",MAS + Graph-RAG,Automated Fuzz Driver Generation,High/ICSE,Usa DeepSeek-V2 (modelo open weights) em vez de GPT-4; combina LLM com libFuzzer (híbrido); Grafo de Conhecimento resolve a alucinação de APIs inexistentes; foco em C/C++.
S24,AutoRestTest: A Tool for Automated REST API Testing Using LLMs and MARL,AutoRestTest (Tool),Hybrid MARL (Strategy) + SPDG (Dependency) + LLM (Values),System Testing / API Testing,Testing / Test Generation,Funcional (Interoperabilidade e Crashes),"Functional Suitability, Interoperability, Reliability",Hybrid (RL + LLM),Automated REST API Fuzzing,High/Tool-Demo,Versão de demonstração (ICSE Companion) do paper #11. Confirma uso de modelos SOTA (GPT-4o/o1); detectou erro 500 inédito no Spotify; única ferramenta a conseguir 2xx no OhSome API.
S25,Towards Architectural Pen Test Case Generation and Attack Surface Analysis to Support Secure Design,Conceptual Framework,Architectural Models (PCM) + Threat Knowledge (CAPEC/CWE) + LLM (Planned),Software Design / Architecture,Software Design / Software Testing,Não-Funcional (Superfície de Ataque e Falhas de Design),Security (Design Deficiencies),Conceptual (Model-Based),Test Planning & Prioritization,Medium/Vision,"Proposta de ""Shift-Left"" extremo: gerar casos de Pentest a partir do diagrama de arquitetura, antes do código existir; uso de LLM para mapear modelos (PCM) em ameaças (CAPEC); sem validação empírica."
S26,Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation,PathFinder,Multi-Agent Orchestration (Local Quantized LLMs) + DOM Analysis,System Testing / Acceptance,Testing / Experience-based (Exploratory),Funcional (Jornadas E2E) e Privacidade,"Functional Suitability, Portability (Local Execution), Maintainability",MAS (Local/Quantized),Automated Exploratory GUI Testing,High/Empirical,"Foco em privacidade (Local LLMs: Llama 3.1); teste ""Scriptless"" (orientado a objetivos) oferece self-healing implícito; refutou a tese de que misturar modelos especializados é melhor (homogeneidade favoreceu a comunicação)."
S27,"Evaluating Software Development Agents: Patch Patterns, Code Quality, and Issue Complexity in Real-World GitHub Scenarios",HULA,Human-in-the-Loop (HITL) + GPT-Based Similarity Scoring,Maintenance / Evolution,Software Maintenance / Defect Correction,Funcional (SWE-bench Verified) e Semântica (Similarity),"Functional Suitability, Maintainability (Modifiability)",Agent-Based (HITL),Automated Issue Resolution & Patch Evaluation,High/SANER,"Propõe ""GPT-based Similarity"" como métrica substituta aos testes unitários (que são caros/lentos); 37.2% de sucesso no SWE-bench; forte correlação (0.7) entre avaliação humana e avaliação do LLM."
S28,Approach to Forming Vulnerability Datasets for Fine-Tuning AI Agents,Vulnerability Dataset Pipeline,Fine-Tuning (CodeQwen 2.5) + Synthetic Data Gen (GPT-4o),Implementation / Testing,Software Quality / Construction,Não-Funcional (Segurança - SAST),"Security (Vulnerability Assessment), Performance Efficiency",Fine-Tuned Small Language Model (SLM),Dataset Curation & Vulnerability Detection,Medium/Methodological,"Aborda o problema da ""cauda longa"" em segurança (bugs raros); usa GPT-4o para gerar vulnerabilidades sintéticas (custo baixo: $9) e treinar modelos menores (7B) para rodarem localmente."
S29,Adaptive Test Healing using LLM/GPT and Reinforcement Learning,Adaptive Healing Framework,Hybrid (LLM Suggestions + Q-Learning Selection),Maintenance / Regression,Software Maintenance / Testing,Funcional (Estabilidade de Testes UI),"Maintainability (Testability), Reliability",Hybrid (RL + LLM),Automated Test Repair (Self-Healing),Medium/Workshop,O LLM gera múltiplas opções de correção para um teste falho; o agente RL (Q-Learning) escolhe a melhor opção baseada em sucesso histórico; foca em mudanças de UI/Fluxo.
S30,Multi-Agent hierarchical workflow for autonomous code generation with Large Language Models,Hierarchical MAS,Skeleton-of-Code + Role-Based Agents (AlphaCodium style),Implementation / Unit Testing,Software Construction / Testing,Funcional (Data Analysis) e Performance (Latência),"Time Behaviour (Efficiency), Functional Suitability",MAS (Hierarchical),Code Generation & Debugging,Medium/Student,"Introduz a técnica de gerar ""esqueletos"" de código para permitir paralelismo entre o Agente de Teste e o Agente de Código; foco em Python/Pandas; validação em datasets simples (Housing)."
S31,Using LLM-Based Deep Reinforcement Learning Agents to Detect Bugs in Web Applications,LLM-Based DRL Agent,Hybrid (DRL-PPO + Gemma-7b as Sensor),System / Acceptance Testing,Software Testing / Test Execution,Funcional (Exploratory Bug Detection),"Functional Suitability, Portability (Cross-Browser)",Hybrid (DRL + LLM),Automated Exploratory Testing,Medium/Methodological,"Usa Gemma-7b (local) não para gerar código, mas para inferir estado (""Isso é clicável?"") e alimentar o vetor de observação do agente RL (PPO); resolve problemas onde a API do navegador (Selenium) falha em detectar interatividade real."
S32,Agentic AI for Behavior-Driven Development Testing Using Large Language Models,BDDTestAIGen,Fine-Tuned Llama 3.1 (8B) + Classical NLP (POS/SRL) + HITL,Requirements / Acceptance,Software Testing / Test Specification,Funcional (Critérios de Aceite) e Usabilidade,"Functional Suitability, Usability (Accessibility for Non-Techs)",Hybrid (Agentic AI + NLP Rules),BDD Scenario Generation & Mapping,High/Novelty,"Primeiro estudo a combinar Agentes, LLM e NLP clássico para BDD; foco em permitir que não-programadores criem testes em jogos comerciais; usa Llama 3.1 8B (local) fine-tuned com dados sintéticos do GPT-4."
S33,FlexFL: Flexible and Effective Fault Localization With Open-Source Large Language Models,FlexFL,Dual-Agent (Search/Refine) + Hybrid (SBFL/IRFL + LLM) + ReAct,Debugging / Maintenance,Software Testing / Maintenance,Funcional (Precisão de Localização),Maintainability (Analyzability),MAS (Agent4SR + Agent4LR),Automated Fault Localization,High/TSE-Journal,Publicado na TSE (Top Tier); Abordagem híbrida que usa estatística (SBFL) para reduzir o escopo e Agentes (Llama 3 8B) para análise semântica; superou métodos não-LLM em 93 bugs difíceis no Defects4J.
S34,Self-Collaboration Code Generation via ChatGPT,Self-Collaboration Framework,"Multi-Persona / Role-Playing (Analyst, Coder, Tester)",Implementation / Unit Testing,Software Construction / Testing,Funcional (Code Generation & Test),"Functional Suitability, Maintainability",Single-LLM Multi-Role,Self-Refinement / Code Generation,High/TOSEM,"Introduz o conceito de que um único LLM pode atuar como Analista, Codificador e Testador em um loop de diálogo consigo mesmo para superar limitações de raciocínio de passo único (Zero-shot)."
S35,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,AutoGen BDD Executor,Multi-Agent (AutoGen) + GPT-4o + Playwright,System / Acceptance Testing,Software Testing / Test Execution,Funcional (Execução de Cenários),"Functional Suitability, Reliability",MAS (AutoGen),Automated Test Execution (On-the-fly),Medium/Exp,"Complementa o paper anterior (#21); Agentes (Coordinator, Coder, Executor) leem Gherkin e geram código Playwright em tempo de execução; GPT-4o teve 100% de sucesso em cenários positivos, mas alucina em cenários negativos."
S36,AutoCodeRover: Autonomous Program Improvement,AutoCodeRover,Agentic (GPT-4) + AST Analysis + SBFL (Spectrum-Based Fault Localization),Maintenance / Debugging,Software Maintenance / Software Testing,Funcional (SWE-bench Pass Rate) e Eficiência (Custo),"Maintainability (Modifiability), Functional Suitability",Agentic (Structure-Aware),Automated Program Repair (APR),High/SOTA,Um dos principais benchmarks atuais (SWE-bench); diferencia-se por usar a estrutura sintática (AST) para navegar no código em vez de apenas busca textual; custo baixo ($0.43/issue); integra SBFL para localizar a falha antes de corrigir.
S37,A New Generation of Intelligent Development Environments,IDE 2.0 / Bosque,Neuro-Symbolic AI (GenAI + Formal Verification),Construction / Design,Software Construction / Eng. Management,Conceitual (Intent-Driven Programming),"Reliability (Maturity), Usability",Neuro-Symbolic,Orchestration & Formal Verification,Medium/Visionary,"Propõe a mudança do humano de ""Codificador"" para ""Gerente de Intenção""; critica a natureza probabilística dos LLMs e defende ""Provable Correctness"" via verificação simbólica acoplada à geração."
S38,Coverage-based Strategies for the Automated Synthesis of Test Scenarios for Conversational Agents,Asymob,Deterministic Model-Based Testing (Graph Traversal),System / Acceptance,Software Testing,Funcional (Chatbot Flow Coverage),"Functional Suitability (Completeness), Performance (Time Behaviour)",Non-AI (Model-Driven),Test Generation & Optimization,Low/Baseline,"Artigo de Controle. Usa algoritmos de grafo para garantir 100% de cobertura de caminhos em chatbots (Rasa/Dialogflow). Serve para contrastar com a natureza ""não exaustiva"" dos testes gerados por LLMs."
S39,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,Multi-Agent BDD Gen,Multi-Agent (AutoGen) + Intermediate Representation (User Stories) + Feedback Loop,Unit Testing / Documentation,Software Testing / Construction,Funcional (Pass Rate) e Cobertura (Branch),"Functional Suitability, Maintainability (Documentation)",MAS (Triple-Agent),Unit Test Generation & Documentation,Medium/Cost-Efficiency,Usa GPT-4o-mini para demonstrar eficiência de custo (<$0.20 para 100 testes); Gera User Stories como passo intermediário para forçar o entendimento do código antes do teste; Aumentou cobertura de 67% para 83% no dataset MBPP.
S40,Automated test generation to evaluate tool-augmented LLMs as conversational AI agents,Graph-Based Evaluation Framework,Intermediate Graph Structures + ALMITA Benchmark,System / Acceptance Testing,Software Testing / Evaluation,Funcional (Conversational State & API Usage),"Reliability (Maturity), Functional Suitability",Agentic (Tool-Augmented),Test Data Generation & Benchmarking,Medium/Validation,Foca em testar agentes que usam APIs (Tool Use); usa grafos intermediários para estruturar o teste; descobre que o desempenho degrada significativamente em conversas longas (multi-turn) versus interações únicas.
S41,RGD: Multi-LLM Based Agent Debugger via Refinement and Generation Guidance,RGD Framework,Multi-Agent (Guide/Debug/Feedback) + Memory Pool (RAG for Plans),Implementation / Unit Testing,Software Construction / Maintenance,Funcional (Code Repair Accuracy),"Functional Suitability, Reliability (Regression Avoidance)",MAS (Memory-Augmented),Automated Debugging / Program Repair,High/SOTA,"Atingiu 97.6% no HumanEval (SOTA); Introduz um ""Guide Agent"" que cria um plano de correção antes de codificar e usa um ""Memory Pool"" para recuperar estratégias de sucesso passadas, evitando regressão ao analisar testes que passaram."
S42,Test-Agent: A Multimodal App Automation Testing Framework Based on the Large Language Model,Test-Agent,Multimodal (Vision + LLM) + RL (DQN) + OCR,System / Acceptance,Software Testing / Test Execution,Funcional (GUI Interaction) e Eficiência (Creation Time),"Usability, Operability, Portability (Android/iOS/Harmony)",Agentic (Multimodal),Scriptless Mobile Testing,High/Multimodal,"Abordagem ""Scriptless"": elimina a necessidade de Appium/Espresso scripts rígidos. Usa screenshots e instruções em linguagem natural. Reduziu tempo de criação de testes de 3h para 0.1h. Abrange Android, iOS e HarmonyOS."
S43,Fight Fire With Fire: How Much Can We Trust ChatGPT on Source Code-Related Tasks?,Self-Verification Study,Self-Correction Loop / Prompt Strategies (Direct vs. Guiding),Verification / Code Review,Software Quality / Testing,Empírico (Reliability of Oracle),"Reliability (Fault Tolerance), Security",Single-LLM (Self-Reflection),Automated Code Verification,High/Critical,"Artigo Cético. Avalia se o LLM pode testar a si mesmo. Descobre que o modelo falha em identificar seus erros em 39% dos casos e sofre de ""Sycophancy"" (concorda que há um erro só porque o prompt perguntou, gerando Falsos Positivos). Conclui que LLMs não são oráculos confiáveis sem execução."
S44,Extending the Frontier of ChatGPT: Code Generation and Debugging,ChatGPT (Direct),Direct Prompting + Manual Feedback Loop (Human-in-the-loop),Implementation / Debugging,Software Construction,Funcional (LeetCode Pass Rate) e Eficiência (Time Complexity),"Functional Suitability, Performance Efficiency",Single-LLM (Naive),Code Generation & Manual Debugging,Low/Baseline,"Artigo de Controle. Mostra que o uso direto do chat resolve 71% dos problemas fáceis, mas falha gravemente na depuração (apenas 36% de sucesso ao corrigir erros). Falha em otimizar complexidade ($O(n^2)$ vs $O(n)$) e em lógica profunda (Greedy/DP)."
S45,"PENTEST-AI, an LLM-Powered Multi-Agents Framework for Penetration Testing Automation Leveraging Mitre Attack",PENTEST-AI,Multi-Agent (CrewAI) + MITRE ATT&CK Knowledge Base,System / Operation (Security),Software Quality / Security Engineering,Funcional (Vulnerability Discovery),"Security (Penetration Testing), Usability (Citizen Tester)",MAS (Hierarchical/CrewAI),Automated Penetration Testing,High/Security,"Introduz o uso de CrewAI (focado em role-playing); Mapeia agentes para fases do MITRE ATT&CK (Recon, Exploit, Report); Propõe o conceito de ""Citizen Penetration Tester"" (democratização); Limitação clara: não detecta Zero-days (falta criatividade profunda)."
S46,CODEAGENT: Enhancing Code Generation with Tool-Integrated Agent Systems for Real-World Repo-level Coding Challenges,CODEAGENT,"Tool-Augmented LLM (Tree-sitter, REPL, Black) + Repository Context Analysis",Implementation / Unit Testing,Software Construction,Funcional (Pass@1 em Repos Reais),"Functional Suitability, Maintainability (Context Awareness)",Single-Agent (Tool-Use),Repo-Level Code Gen & Verification,High/Context,"Aborda o problema de ""Repo-Level Context"". Usa Tree-sitter para navegar na AST do projeto e entender dependências. Descobriu que estratégias de planejamento complexas (""Tool-Planning"") podem ser piores que execução direta (ReAct) em codificação. Mostra que modelos pequenos (<13B) falham no uso de ferramentas."
S47,Towards LLM-Assisted System Testing for Microservices,Kashef,"Multi-Agent (Test Engineer, Executor, HTML Interpreter)",System / Integration,Software Testing / System Testing,Funcional (E2E Flows),"Functional Suitability, Compatibility (Interoperability)",MAS (Role-Based),End-to-End Test Generation,Medium/Barrier,"Identifica uma barreira crítica: modelos open-source (CodeLlama) com filtros de segurança rígidos recusam-se a gerar scripts de teste, confundindo QA com Hacking. GPT-4 teve 100% de sucesso em fluxos simples, mas caiu para 30% em fluxos complexos de e-commerce."
S48,Intent-Driven Mobile GUI Testing with Autonomous Large Language Model Agents,DROIDAGENT,Multi-Agent (Planner/Actor/Observer/Reflector) + Vector Memory + Personas,System / Acceptance,Software Testing / System Testing,Funcional (User Journey Coverage),"Functional Suitability, Usability (User Simulation)",MAS (Memory-Augmented),Intent-Driven Scenario Generation,High/Behavioral,"Introduz ""Personas"" para guiar o teste (ex: ""Jade Green""). Usa arquitetura sofisticada de memória (Curta, Longa, Espacial) para evitar loops. Supera ferramentas clássicas (Monkey, Humanoid) em cobertura de atividade (61%). Foca em cenários de uso e não em cliques aleatórios."
S49,A Generative Adversarial Imitation Learning Method for Continuous Integration Testing,GAIL-TCP,Non-LLM GenAI (GAN + PPO) + Imitation Learning,Regression Testing / CI/CD,Software Testing / Test Process Improvement,Eficiência (APFD - Fault Detection Rate),"Time Behavior, Efficiency",RL-Agent (Adversarial),Test Case Prioritization (TCP),Medium/Scope,"Diferencial: Não usa LLM. Usa GAIL para aprender a priorizar testes observando históricos de execução ""ótimos"" (Experts). Resolve o problema de ""Sparse Rewards"" (onde falhas são raras e RL tradicional não aprende). Supera métodos de RL clássicos em 5/6 datasets industriais."
S50,ChatDev: Communicative Agents for Software Development,ChatDev,Multi-Agent (Chat Chain) + Waterfall Model + Communicative Dehallucination,Entire SDLC (Req to Test),Software Construction / Testing,"Empírico (Completeness, Executability)","Functional Suitability, Reliability (Error Free)",MAS (Chat-Chain),End-to-End Software Generation,High/Seminal,"Paper Fundamental. Introduz a ""Cadeia de Chat"" simulando uma empresa de software (CEO, CTO, Coder, Tester). O mecanismo de ""Desalucinação Comunicativa"" reduziu erros sem necessidade de fine-tuning. Mostra que dividir o desenvolvimento em sub-tarefas atômicas sequenciais (Waterfall) funciona melhor para LLMs do que abordagens monolíticas."
S51,Cloud-Based System for Source Code Analysis of Microservices with LLM Agents,Cloud-Agent System,Multi-Agent + Graph RAG (Neo4j + Vector) + Event-Driven Architecture,Static Analysis / Design Review,Software Quality / Maintenance,Arquitetural (Scalability & Context),"Maintainability (Modularity), Reliability (Fault Tolerance)",Cloud-Native MAS,Microservices Static Analysis,High/Arch,"Inovação: Combina Vector Search (busca semântica) com Knowledge Graph (Neo4j) para dar contexto estrutural aos agentes. Opera em arquitetura Event-Driven (Webhooks do Git), tirando o agente do ""Chat"" e colocando-o no pipeline de CI/CD background. Valida design, não apenas sintaxe."
